AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	host_tissue_sampled	Assay_Type	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	collection_date	env_biome	env_feature	env_material	geo_loc_name	host	lat_lon
464	SAMN05249688	SRX1845739	VC008L	11	3	SRR3667459	SRS1504469	VC008L	VC008L.Healthy Biopsy	AMPLICON	PRJNA325649	MIMARKS.survey	public	sra	ncbi	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2016-06-14	gut metagenome	ILLUMINA	2016-10-01	SRP076571	2014	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
461	SAMN05249689	SRX1845740	VC008R	6	1	SRR3667460	SRS1504470	VC008R	VC008R.Healthy Biopsy	AMPLICON	PRJNA325649	MIMARKS.survey	public	sra	ncbi	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2016-06-14	gut metagenome	ILLUMINA	2016-10-01	SRP076571	2014	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
458	SAMN05249698	SRX1845741	VC017L	9	2	SRR3667461	SRS1504471	VC017L	VC017L.Healthy Biopsy	AMPLICON	PRJNA325649	MIMARKS.survey	public	sra	ncbi	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2016-06-14	gut metagenome	ILLUMINA	2016-10-01	SRP076571	2014	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
458	SAMN05249699	SRX1845742	VC017R	11	2	SRR3667462	SRS1504472	VC017R	VC017R.Healthy Biopsy	AMPLICON	PRJNA325649	MIMARKS.survey	public	sra	ncbi	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2016-06-14	gut metagenome	ILLUMINA	2016-10-01	SRP076571	2014	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
463	SAMN05249700	SRX1845743	VS002N	10	2	SRR3667463	SRS1504473	VS002N	VS002N.Normal	AMPLICON	PRJNA325649	MIMARKS.survey	public	sra	ncbi	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2016-06-14	gut metagenome	ILLUMINA	2016-10-01	SRP076571	2014	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
462	SAMN05249701	SRX1845744	VS002T	12	3	SRR3667464	SRS1504474	VS002T	VS002T.CRC	AMPLICON	PRJNA325649	MIMARKS.survey	public	sra	ncbi	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2016-06-14	gut metagenome	ILLUMINA	2016-10-01	SRP076571	2014	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
467	SAMN05249702	SRX1845745	VS003N	10	2	SRR3667465	SRS1504475	VS003N	VS003N.Normal	AMPLICON	PRJNA325649	MIMARKS.survey	public	sra	ncbi	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2016-06-14	gut metagenome	ILLUMINA	2016-10-01	SRP076571	2014	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
463	SAMN05249703	SRX1845746	VS003T	9	2	SRR3667466	SRS1504476	VS003T	VS003T.CRC	AMPLICON	PRJNA325649	MIMARKS.survey	public	sra	ncbi	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2016-06-14	gut metagenome	ILLUMINA	2016-10-01	SRP076571	2014	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
463	SAMN05249704	SRX1845748	VS005T	8	2	SRR3667468	SRS1504478	VS005T	VS005T.CRC	AMPLICON	PRJNA325649	MIMARKS.survey	public	sra	ncbi	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2016-06-14	gut metagenome	ILLUMINA	2016-10-01	SRP076571	2014	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
461	SAMN05249705	SRX1845749	VS006N	13	3	SRR3667469	SRS1504479	VS006N	VS006N.Normal	AMPLICON	PRJNA325649	MIMARKS.survey	public	sra	ncbi	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	2016-06-14	gut metagenome	ILLUMINA	2016-10-01	SRP076571	2014	mammalia-associated habitat	human-associated habitat	colon	USA	Homo sapiens	not collected
