BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	tmp	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	collection_date	geo_loc_name	host	isolation_source	lat_lon
SAMN06768084	SRX2748315	852693_C	21	11	SRR5460302	SRS2134447	852693_C	127	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768083	SRX2748316	848829_N	18	9	SRR5460303	SRS2134448	848829_N	126	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768082	SRX2748317	848829_C	18	9	SRR5460304	SRS2134450	848829_C	125	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768081	SRX2748318	848448_N	17	9	SRR5460305	SRS2134449	848448_N	124	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768080	SRX2748319	848448_C	18	9	SRR5460306	SRS2134451	848448_C	123	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768079	SRX2748320	847391_N	15	8	SRR5460307	SRS2134452	847391_N	122	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768078	SRX2748321	847391_C	15	8	SRR5460308	SRS2134453	847391_C	121	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768077	SRX2748322	846901_N	17	9	SRR5460309	SRS2134454	846901_N	120	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768076	SRX2748323	846901_C	15	8	SRR5460310	SRS2134455	846901_C	119	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768075	SRX2748324	846045_N	17	8	SRR5460311	SRS2134456	846045_N	118	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768074	SRX2748325	846045_C	16	8	SRR5460312	SRS2134457	846045_C	117	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768073	SRX2748326	844296_N	19	9	SRR5460313	SRS2134458	844296_N	116	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768072	SRX2748327	844296_C	15	8	SRR5460314	SRS2134459	844296_C	115	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768071	SRX2748328	844099_N	19	10	SRR5460315	SRS2134460	844099_N	114	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768070	SRX2748329	844099_C	15	8	SRR5460316	SRS2134461	844099_C	113	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768069	SRX2748330	842532_N	15	8	SRR5460317	SRS2134462	842532_N	112	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768068	SRX2748331	842532_C	18	9	SRR5460318	SRS2134463	842532_C	111	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768067	SRX2748332	130304T	15	7	SRR5460319	SRS2134465	130304T	110	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768066	SRX2748333	130304N	20	10	SRR5460320	SRS2134464	130304N	109	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768065	SRX2748334	130276T	16	8	SRR5460321	SRS2134466	130276T	108	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768064	SRX2748335	130276N	19	10	SRR5460322	SRS2134467	130276N	107	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768063	SRX2748336	130251T	21	10	SRR5460323	SRS2134468	130251T	106	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768062	SRX2748337	130251N	21	10	SRR5460324	SRS2134470	130251N	105	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768061	SRX2748338	130065T	18	9	SRR5460325	SRS2134469	130065T	104	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768060	SRX2748339	130065N	15	8	SRR5460326	SRS2134471	130065N	103	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768059	SRX2748340	130050T	19	10	SRR5460327	SRS2134472	130050T	102	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768058	SRX2748341	130050N	14	7	SRR5460328	SRS2134473	130050N	101	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768057	SRX2748342	130042T	19	9	SRR5460329	SRS2134474	130042T	100	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
