BioSample	Experiment	Library_Name	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	temp	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	collection_date	geographic_location	isolation_source	sample_type	strain
SAMN04184957	SRX1354469	7A	2015-10-20	11	6	SRR2726142	SRS1121065	7A	1	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04184958	SRX1354470	8A	2015-10-20	9	5	SRR2726143	SRS1121064	8A	2	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04184959	SRX1354471	9A	2015-10-20	9	5	SRR2726144	SRS1121063	9A	3	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04184960	SRX1354472	10A	2015-10-20	8	4	SRR2726145	SRS1121060	10A	4	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04184961	SRX1354473	11A	2015-10-21	9	5	SRR2726146	SRS1121061	11A	5	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04184962	SRX1354474	12A	2015-10-22	8	4	SRR2726147	SRS1121062	12A	6	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04184963	SRX1354475	13A	2015-10-21	7	4	SRR2726148	SRS1121059	13A	7	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04184964	SRX1354476	14A	2015-10-20	7	4	SRR2726149	SRS1121058	14A	8	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04184965	SRX1354477	15A	2015-10-20	6	3	SRR2726150	SRS1121057	15A	9	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04184966	SRX1354478	16A	2015-10-20	10	6	SRR2726151	SRS1121055	16A	10	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
