AvgSpotLen	BioSample	DATASTORE_filetype	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	env_feature	env_material	host_subject_id	Assay_Type	BioProject	BioSampleModel	Consent	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	collection_date	env_biome	geo_loc_name	host	isol_growth_condt	isolate	lat_lon
600	SAMN06113524	contigssra	SRX2398651	FAS-1 PILOT 43	59	41	SRR5080237	SRS1839575	FAS_RF28_pilot	gut mucosa	biopsy	CM18	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113499	contigssra	SRX2398650	FAS-1 PILOT 18	237	142	SRR5080236	SRS1839576	FAS_RFa7_pilot	oral cavity	saliva	CFP8	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113486	contigssra	SRX2398652	FAS-1 PILOT 05	0	0	SRR5080238	SRS1839577	FAS_RFa14_pilot	digestive system	stool	CFP4	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
597	SAMN06113511	contigssra	SRX2398654	FAS-1 PILOT 30	89	65	SRR5080240	SRS1839578	FAS_1S_pilot	oral cavity	saliva	CM11	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
601	SAMN06113515	contigssra	SRX2398653	FAS-1 PILOT 34	235	145	SRR5080239	SRS1839579	FAS_RF13_pilot	digestive system	stool	CM19	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113523	contigssra	SRX2398655	FAS-1 PILOT 42	87	52	SRR5080241	SRS1839580	FAS_RF25_pilot	oral cavity	saliva	CM23	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
592	SAMN06113497	contigssra	SRX2398656	FAS-1 PILOT 16	99	65	SRR5080242	SRS1839581	FAS_RFa5_pilot	oral cavity	saliva	CFP6	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
598	SAMN06113508	contigssra	SRX2398657	FAS-1 PILOT 27	86	64	SRR5080243	SRS1839582	FAS_1P_pilot	oral cavity	saliva	CM10	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113482	contigssra	SRX2398658	FAS-1 PILOT 01	627	395	SRR5080244	SRS1839583	FAS_RFa10_pilot	oral cavity	saliva	CFP11	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
597	SAMN06113528	contigssra	SRX2398659	FAS-1 PILOT 47	60	36	SRR5080245	SRS1839584	FAS_RF31_pilot	gut mucosa	biopsy	CM22	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
599	SAMN06113491	contigssra	SRX2398660	FAS-1 PILOT 10	45	31	SRR5080246	SRS1839585	FAS_RFa19_pilot	digestive system	stool	CFP10	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
594	SAMN06113507	contigssra	SRX2398662	FAS-1 PILOT 26	141	103	SRR5080248	SRS1839586	FAS_1N_pilot	gut mucosa	biopsy	CM8	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
597	SAMN06113512	contigssra	SRX2398661	FAS-1 PILOT 31	311	229	SRR5080247	SRS1839587	FAS_1T_pilot	digestive system	stool	CM11	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
597	SAMN06113505	contigssra	SRX2398663	FAS-1 PILOT 24	92	68	SRR5080249	SRS1839588	FAS_1L_pilot	oral cavity	saliva	CM8	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113494	contigssra	SRX2398664	FAS-1 PILOT 13	27	19	SRR5080250	SRS1839589	FAS_RFa2_pilot	oral cavity	saliva	CFP2	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113517	contigssra	SRX2398665	FAS-1 PILOT 36	34	20	SRR5080251	SRS1839590	FAS_RF17_pilot	digestive system	stool	CM22	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
574	SAMN06113504	contigssra	SRX2398666	FAS-1 PILOT 23	68	51	SRR5080252	SRS1839591	FAS_1K_pilot	gut mucosa	biopsy	CM7	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
601	SAMN06113485	contigssra	SRX2398667	FAS-1 PILOT 04	25	17	SRR5080253	SRS1839592	FAS_RFa13_pilot	digestive system	stool	CFP3	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113521	contigssra	SRX2398669	FAS-1 PILOT 40	101	60	SRR5080255	SRS1839593	FAS_RF22_pilot	oral cavity	saliva	CM20	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113522	contigssra	SRX2398668	FAS-1 PILOT 41	61	36	SRR5080254	SRS1839594	FAS_RF24_pilot	oral cavity	saliva	CM22	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
601	SAMN06113489	contigssra	SRX2398670	FAS-1 PILOT 08	16	11	SRR5080256	SRS1839595	FAS_RFa17_pilot	digestive system	stool	CFP8	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113495	contigssra	SRX2398671	FAS-1 PILOT 14	179	108	SRR5080257	SRS1839596	FAS_RFa3_pilot	oral cavity	saliva	CFP3	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
599	SAMN06113525	contigssra	SRX2398673	FAS-1 PILOT 44	80	53	SRR5080259	SRS1839597	FAS_RF29_pilot	gut mucosa	biopsy	CM19	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113488	contigssra	SRX2398672	FAS-1 PILOT 07	266	160	SRR5080258	SRS1839598	FAS_RFa16_pilot	digestive system	stool	CFP7	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113487	contigssra	SRX2398675	FAS-1 PILOT 06	141	85	SRR5080261	SRS1839599	FAS_RFa15_pilot	digestive system	stool	CFP6	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
596	SAMN06113506	contigssra	SRX2398674	FAS-1 PILOT 25	166	122	SRR5080260	SRS1839600	FAS_1M_pilot	digestive system	stool	CM8	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
600	SAMN06113530	contigssra	SRX2398677	FAS-1 PILOT 49	179	115	SRR5080263	SRS1839601	FAS_RF33_pilot	gut mucosa	biopsy	CM24	AMPLICON	PRJNA356414	MIGS/MIMS/MIMARKS.human-associated	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2016-12-06	human metagenome	ILLUMINA	2016-12-11	SRP094636	not collected	human	Italy: Florence, FI	Homo sapiens	not applicable	missing	43.803903 N 11.246223 E
