ADenoma12-2799_S12	Adenoma12
Ademona1-2065_S1	Ademona1
Adenoma10-2757_S10	Adenoma10
Adenoma11-2775_S11	Adenoma11
Adenoma13-2803_S13	Adenoma13
Adenoma14-2817_S14	Adenoma14
Adenoma15-2847_S15	Adenoma15
Adenoma16-2873_S16	Adenoma16
Adenoma17-2937_S17	Adenoma17
Adenoma18-2967_S18	Adenoma18
Adenoma19-2971_S19	Adenoma19
Adenoma2-2113_S2	Adenoma2
Adenoma20-2995_S20	Adenoma20
Adenoma21-3129_S21	Adenoma21
Adenoma22-3133_S22	Adenoma22
Adenoma23-3141_S23	Adenoma23
Adenoma24-3217_S24	Adenoma24
Adenoma25-3273_S25	Adenoma25
Adenoma26-3373_S26	Adenoma26
Adenoma27-3379_S27	Adenoma27
Adenoma28-3391_S28	Adenoma28
Adenoma29-3399_S29	Adenoma29
Adenoma3-2123_S3	Adenoma3
Adenoma30-3509_S30	Adenoma30
Adenoma4-2143_S4	Adenoma4
Adenoma5-2243_S5	Adenoma5
Adenoma6-2453_S6	Adenoma6
Adenoma7-2475_S7	Adenoma7
Adenoma8-2555_S8	Adenoma8
Adenoma9-2717_S9	Adenoma9
Cancer1-2355_S61	Cancer1
Cancer10-2567_S70	Cancer10
Cancer11-2573_S71	Cancer11
Cancer12-2575_S72	Cancer12
Cancer13-2579_S73	Cancer13
Cancer14-2611_S74	Cancer14
Cancer15-2613_S75	Cancer15
Cancer16-2619_S76	Cancer16
Cancer17-2625_S77	Cancer17
Cancer18-2629_S78	Cancer18
Cancer19-2633_S79	Cancer19
Cancer2-2455_S62	Cancer2
Cancer20-2667_S80	Cancer20
Cancer21-2671_S81	Cancer21
Cancer22-2703_S82	Cancer22
Cancer23-2705_S83	Cancer23
Cancer24-2727_S84	Cancer24
Cancer25-2735_S85	Cancer25
Cancer26-2763_S86	Cancer26
Cancer27-2771_S87	Cancer27
Cancer28-2777_S88	Cancer28
Cancer29-2801_S89	Cancer29
Cancer3-2513_S63	Cancer3
Cancer30-2863_S90	Cancer30
Cancer4-2521_S64	Cancer4
Cancer5-2523_S65	Cancer5
Cancer6-2535_S66	Cancer6
Cancer7-2537_S67	Cancer7
Cancer8-2543_S68	Cancer8
Cancer9-2547_S69	Cancer9
Healthy1-2027_S31	Healthy1
Healthy10-3087_S40	Healthy10
Healthy11-3123_S41	Healthy11
Healthy12-3211_S42	Healthy12
Healthy13-3241_S43	Healthy13
Healthy14-3245_S44	Healthy14
Healthy15-3247_S45	Healthy15
Healthy16-3251_S46	Healthy16
Healthy17-3257_S47	Healthy17
Healthy18-3293_S48	Healthy18
Healthy19-3339_S49	Healthy19
Healthy2-2779_S32	Healthy2
Healthy20-3341_S50	Healthy20
Healthy21-3347_S51	Healthy21
Healthy22-3363_S52	Healthy22
Healthy23-3367_S53	Healthy23
Healthy24-3403_S54	Healthy24
Healthy25-3405_S55	Healthy25
Healthy26-3407_S56	Healthy26
Healthy27-3439_S57	Healthy27
Healthy28-3499_S58	Healthy28
Healthy29-3529_S59	Healthy29
Healthy3-3021_S33	Healthy3
Healthy30-3291-66_S60	Healthy30
Healthy4-3023_S34	Healthy4
Healthy5-3043_S35	Healthy5
Healthy6-3061_S36	Healthy6
Healthy7-3063_S37	Healthy7
Healthy8-3073_S38	Healthy8
Healthy9-3075_S39	Healthy9
mock1_S95	mock1_S95
mock2_S96	mock2_S96
